"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
225	"Seishin Hecatean"	6619	2.03	0.648	1.46	"vine:desert:plain:tundra"	"tropical:superheated:arid:temperate:artic"
226	"Luminastra Apollox"	8391	1.86	1.017	1.22	"valley:rocky island"	"frozen:superheated:humid:frigid"
227	"Quantraflux Quintal"	9289	2.56	1.385	1.23	"hill:ice canyon:tundra:urban:field"	"frozen:frigid:temperate:windy"
228	"Darkonix XII"	1256	2.52	1.029	1.35	"savanna:hill"	"rocky:subartic:windy:artificial temperate:tropical"
229	"Beemim Hermesios"	4964	2.02	0.696	1.43	"acid pool:glacier:savanna:rainforest:sinkholes:sea"	"frigid:superheated:tropical:hot"
230	"Beemim Helios"	4964	7.4	1.057	1.91	"cliff:savanna:rainforest"	"tropical:subartic:windy"
231	"Beemim Chimeraean"	4964	3.54	0.809	1.64	"city:field:ocean:urban:hill:jungle"	"tropical:superheated:subartic:windy:humid:frigid:temperate"
232	"Beemim Pegasusian"	4964	2.52	0.881	1.42	"ocean:rocky canyon:lava river"	"superheated:hot:humid:windy:subartic:artic:arid"
233	"Sylvari Titanos"	380	7.19	0.935	1.97	"verdant:rocky desert:glacier"	"artic:artificial temperate"
234	"Titanium Enigma Qi"	2445	6.79	1.227	na	"grassy hill"	"superheated:humid:hot:frigid:artic"
235	"Wasat Qi"	4044	6.22	0.892	1.91	"rock arche:lava river:rainforest:toxic cloudsea:rocky island:city:lakes"	"temperate:subartic:frozen:superheated:artificial temperate:artic"
236	"Wasat Yi"	4044	6.12	0.502	2.3	"reef"	"temperate:frigid:windy"
237	"Wasat Shi"	4044	2.15	1.119	1.24	"ice cave:desert:field:ash:valley:acid pool:bog"	"frigid:windy:artic:hot:superheated:arid"
238	"Fawaris Janusian"	8096	0.52	1.118	0.77	"cityscape:valley:grassy hill:cliff:grassland:lava river:plateau:scrubland"	"artic:arid:frozen:humid:hot"
239	"Okab Delta"	1624	0.94	1.213	0.92	"grassy hill:ice cave:rocky canyon:toxic cloudsea"	"subartic:frigid:frozen:artificial temperate"
240	"Abyssal Echo Shi"	4379	1.4	1.269	1.03	"ocean:jungle"	"humid:hot:subartic"
241	"Abyssal Echo Wu"	4379	na	1.245	1.22	"river:rocky island"	"frigid:humid:frozen"
242	"Alnilam IV"	7922	2.41	1.489	1.17	"rainforest:lakes:river"	"humid:subartic"
243	"Alnilam IX"	7922	0.37	1.044	0.71	"city:savanna:sinkholes:island:rocky desert"	"frozen:subartic:artificial temperate:windy:superheated"
244	"Alnilam XII"	7922	7.65	1.539	1.71	"jungle:field:valley:fungus forest:river"	"frigid:humid:arid"
245	"Alnilam XVI"	7922	2.67	1.151	1.32	"verdant"	"rocky:artificial temperate:frozen:subartic"
246	"Izar Liu"	3960	7.62	1.394	1.76	"cityscape:vine:plain:savanna"	"artificial temperate:rocky:tropical"
247	"Lotus Echo Nu"	8045	5.66	1.297	1.63	"scrubland"	"arid:windy"
248	"Icarian Cipher Qi"	7956	0.71	1.207	0.84	"vine:rock arche"	"windy:artic:frozen:rocky"
249	"Icarian Cipher Yi"	7956	na	0.746	1.23	"glacier:grassy hill"	"hot:subartic:frozen:tropical:rocky:windy:artificial temperate"
250	"Zenitharian Hermesios"	1100	7.13	0.999	1.93	"glacier:rock arche:fungus forest:jungle:ocean"	"temperate:hot:artic:rocky:tropical"
251	"Celestial Echo Theta"	4512	4.12	1.205	1.51	"forest:canyons:river:island"	"superheated:humid:tropical"
252	"Celestial Echo Phi"	4512	0.98	0.817	1.06	"reef:field:valley:vine:ocean:rainforest:rock arche:cliff"	"hot:humid:arid:superheated:tropical:frozen"
253	"Kaze Horizon Museios"	4931	2.64	0.842	1.46	"glacier:hill:grassy hill:island:bog:cave:rocky desert:scrubland"	"arid:superheated:temperate:frigid:subartic"
254	"Zephyriax Iota"	1164	8.25	0.862	2.12	"ocean:mountain"	"superheated:artificial temperate:tropical"
255	"Zephyriax Rho"	1164	6.23	0.869	1.93	"savanna"	"superheated:subartic"
256	"Tislit Upsilon"	8852	0.9	1.063	0.95	"verdant:grassland"	"subartic:rocky:frozen:windy:arid:temperate"
257	"Sakura Mirage Oranos"	5977	5.9	0.806	1.94	"cliff:ice canyon"	"artic:hot:superheated"
258	"Sakura Mirage Hadean"	5977	8.91	0.561	2.51	"sinkholes:valley:rock arche:rocky canyon:barren"	"hot:arid:artificial temperate"
259	"Sakura Mirage Museios"	5977	5.33	1.258	1.62	"forest:lakes"	"humid:arid:hot"
260	"Sakura Mirage Harpian"	5977	0.85	1.012	0.94	"cliff:valley"	"temperate"
261	"Aetheronix XVIII"	1513	0.68	0.789	0.95	"hill"	"artic:subartic:rocky:frigid:artificial temperate"
262	"Aetheronix XIX"	1513	3.51	1.084	1.48	"ocean:cave:field:rocky island:cityscape"	"rocky:artificial temperate:frigid"
263	"Symbionara Theta"	8428	2.39	1.007	1.33	"rocky canyon"	"arid:artic:subartic:temperate"
264	"Enif II"	1563	8.87	0.636	2.41	"city:glacier"	"hot:artificial temperate:artic"
265	"Atakoraka Septimal"	537	2.43	1.056	na	"fungus forest:island:rock arche:cityscape:grassland:glacier:vine"	"artificial temperate:frigid:humid:tropical:temperate"
266	"Atakoraka Tertial"	537	9.27	1.135	2.01	"verdant"	"temperate:superheated:rocky:arid"
267	"Atakoraka Quintal"	537	na	1.015	0.83	"ice canyon:cliff:island:rocky canyon:vine:lakes"	"artic:hot:tropical:arid:artificial temperate:humid"
268	"Barnard's Star Orphean"	4703	2.41	1.029	1.33	"rocky canyon:cave:jungle"	"temperate:artic:artificial temperate:superheated:frigid"
269	"Sadr Septimal"	9066	1.48	0.927	1.17	"valley"	"frozen:windy:subartic:superheated:arid"
270	"Sadr Secant"	9066	1.4	0.863	na	"city:fungus forest:reef:sea:swamp:valley:cave"	"artic:frozen:tropical:artificial temperate:frigid"
271	"Sadr Duodecimal"	9066	1.74	0.715	1.34	"tundra"	"humid:superheated:artificial temperate:frigid:rocky"
272	"Crimson Void Gaian"	4188	4.02	1.262	1.47	"rock arche:plateau:lava river:urban:desert:cave:ice cave"	"frozen:subartic:superheated:temperate:humid"
273	"Nebulae Cipher IX"	9473	2.52	1.442	1.2	"fungus forest:bog:cliff:savanna:lakes"	"subartic:arid:tropical:rocky"
274	"Nemea Residue Sirenios"	3930	na	0.953	1.5	"jungle:plain:reef:cityscape"	"temperate:arid:windy:tropical"
275	"Márohu Ba"	5923	2.74	1.322	1.27	"ash:rocky canyon:grassy hill:valley:rocky island"	"superheated:frigid:artificial temperate:subartic"
276	"Márohu Jiu"	5923	2.71	1.845	1.14	"verdant:river:rainforest:cave"	"superheated:temperate:rocky:windy"
277	"Jishui Hestian"	8632	5.26	1.216	1.63	"tundra:verdant:ash:plain:cityscape:urban:field:mountain"	"windy:superheated:subartic:artificial temperate:frigid:rocky"
278	"Stardrake Poseidian"	8299	3.16	1.069	1.44	"plain:ocean:island:rocky island"	"temperate:humid:frozen:tropical"
279	"Celestrium Dionysios"	4636	2.86	1.081	1.38	"valley:vine"	"windy:artic:rocky"
280	"Celestrium Herculean"	4636	1.07	1.001	1.02	"bog"	"frigid:windy:rocky:temperate:arid"
281	"Nyxian Whispers I"	1729	6.47	0.753	2.05	"vine:ice cave:lava river:field:bog"	"hot:artificial temperate:rocky:frigid"
282	"Nyxian Whispers XXIII"	1729	2.37	0.733	1.48	"river:hill"	"frozen:artic"
283	"Nyxian Whispers VI"	1729	na	1.571	0.94	"valley:cityscape:island"	"subartic:frigid:windy"
284	"Tuiren Eta"	8891	7.82	1.063	1.95	"rock arche"	"hot:temperate"
285	"Tuiren Iota"	8891	5.29	0.792	1.88	"vine:cave:rocky canyon"	"windy:frigid:temperate:frozen:subartic:rocky"
286	"Phantasmal Abyss Nymphios"	2298	5.51	0.835	na	"canyons:mountain:rock arche"	"windy:temperate:frozen:subartic:tropical:frigid"
287	"Ignitionix IX"	4897	7.16	1.36	na	"canyons:river"	"frozen:artificial temperate:humid:windy:artic"
288	"Ignitionix XX"	4897	na	0.92	1.15	"cliff:desert:lava river:city:ice canyon"	"subartic:humid:temperate:arid"
289	"Ignitionix XVII"	4897	3.92	0.905	1.63	"city:scrubland:sea:barren:cliff"	"windy:temperate:arid:hot"
290	"Ignitionix XIX"	4897	5.81	0.726	2	"verdant:valley:grassy hill"	"artificial temperate:artic"
291	"Skat Alpha"	621	1.17	0.963	1.07	"ice cave:acid pool:ice canyon:plateau:sea"	"frigid:subartic:rocky:frozen"
292	"Skat Beta"	621	na	1.282	1.82	"ocean:fungus forest:glacier:field:sea:hill"	"frozen:humid:rocky:tropical"
293	"Skat Delta"	621	2.42	0.787	1.45	"reef:fungus forest:lava river:swamp:acid pool:cave:grassland:tundra"	"superheated:humid:arid:temperate:tropical:frozen:artic"
294	"Hoshizora Seraph Zeta"	5697	2.01	1.132	1.21	"sinkholes:cliff:volcano:reef:mountain:acid pool"	"superheated:temperate:artificial temperate:hot:rocky:windy"
295	"Paikauhale Sextant"	9735	na	1.401	1.12	"city:jungle:savanna:tundra:hill:glacier"	"artic:arid:tropical:rocky:frigid"
296	"Paikauhale Quintal"	9735	1.09	1.131	0.99	"rock arche:rocky desert"	"artic:tropical:arid"
297	"Paikauhale Undecimal"	9735	0.37	1.361	0.65	"jungle:field:ice cave:ocean:rock arche"	"artificial temperate:tropical:humid:artic"
298	"Paikauhale Nonal"	9735	7.17	1.289	1.77	"plateau:tundra"	"frigid"
299	"Nihal Er"	4616	1.66	0.583	1.42	"ice cave:desert:cliff:acid pool"	"artificial temperate:superheated:rocky:arid:subartic:hot"
300	"Nihal Shi"	4616	1.96	0.957	1.27	"rocky desert:grassland:plateau:plain"	"rocky:frigid:windy:temperate:humid:arid:artificial temperate"
301	"Furud Harpian"	3683	na	0.806	1.46	"rock arche:savanna"	"frigid:arid"
302	"Furud Selenean"	3683	4.13	1.033	1.59	"tundra:forest:reef:rocky island:verdant"	"frigid:arid:humid"
303	"Atlas Ba"	2351	na	1.393	1.01	"hill:lava river:rock arche:ice cave:verdant:reef"	"frigid:windy:superheated:artic:arid"
304	"Atlas Si"	2351	7.57	1.067	1.92	"acid pool:rocky island"	"hot:humid"
305	"Atlas Er"	2351	1.8	1.421	1.08	"jungle:rocky desert"	"superheated:frozen:artificial temperate:hot:tropical"
306	"Mekbuda Titanos"	8135	0.95	1.094	0.95	"swamp:cityscape:ice canyon:grassland"	"frigid:frozen:superheated:tropical:hot:temperate"
307	"Dingolay Aetherios"	5283	0.53	1.378	0.73	"tundra"	"frozen:hot:tropical:arid:superheated:windy"
308	"Rimeblade Nonal"	2594	2.5	0.925	1.39	"rocky canyon:grassland:lakes"	"temperate:tropical:frigid"
309	"Rimeblade Octal"	2594	5.15	0.787	1.87	"urban:verdant:grassy hill:canyons"	"temperate:frozen:subartic:superheated:artic:frigid"
310	"Rimeblade Septimal"	2594	2.63	0.658	1.59	"sea:vine:cave:rock arche:forest"	"rocky:subartic:artificial temperate"
311	"Rimeblade Tertial"	2594	5.52	0.702	1.99	"cliff:ocean:toxic cloudsea:valley:ice canyon"	"hot:arid:artic:frozen:tropical:windy"
312	"Asahi Horizon Herculean"	4758	na	1.341	1.27	"lava river"	"rocky:superheated:frozen:artificial temperate:windy"
313	"Asahi Horizon Titanos"	4758	5.25	1.318	1.59	"rocky canyon:ash:grassland:savanna:scrubland"	"frozen:superheated:rocky:artificial temperate:arid:humid"
314	"Rastaban Titanos"	8926	1.01	1	1	"swamp:rainforest:mountain:jungle:rocky island:hill:reef"	"frozen:tropical:rocky:windy:temperate:artificial temperate:subartic"
315	"Ma'at's Celestial II"	929	1.79	0.884	1.27	"tundra:island:field"	"windy:humid:subartic:hot"
316	"Ma'at's Celestial X"	929	2.1	1.424	1.14	"ash:lava river:vine"	"superheated:artic:temperate:arid"
317	"Cor Caroli X"	580	0.62	0.79	0.92	"acid pool:city:river:lakes:forest:cityscape:urban:grassy hill:valley"	"frozen:artic:rocky:artificial temperate:frigid:windy:subartic"
318	"Fjordfall VII"	9878	2.09	0.619	1.5	"canyons:plain:urban:cityscape"	"rocky:tropical:frozen:temperate:artic"
319	"Frostfang Cerberian"	2376	1.04	0.729	1.13	"glacier"	"frozen:superheated:arid"
320	"Infinite Whispers Pantheon"	4430	0.96	1.397	0.88	"mountain"	"frozen:arid:temperate:subartic:frigid:windy"
321	"Infinite Whispers Harpian"	4430	7.1	0.945	1.96	"hill:sea:ice canyon:mountain:toxic cloudsea"	"artificial temperate:frozen:artic:temperate"
322	"Infinite Whispers Pegasusian"	4430	8.08	1.232	1.87	"urban:acid pool"	"frozen:rocky"
323	"Infinite Whispers Typhonian"	4430	0.78	0.701	1.04	"mountain"	"temperate"
324	"Gienah Nemesisian"	7681	5.27	1.072	na	"forest:rocky island"	"rocky:frigid"
325	"Alshat San"	3379	1.62	0.859	1.24	"desert"	"arid:temperate"
326	"Alshat Qi"	3379	1.65	1.239	1.1	"desert"	"rocky:tropical:subartic:temperate:humid:frozen"
327	"Aetherion Omega"	3222	3.46	1.004	1.51	"ocean:fungus forest"	"humid:frozen:subartic"
328	"Aetherion Alpha"	3222	2.41	1.658	1.13	"sinkholes:volcano"	"superheated"
329	"Koeia XVII"	1144	6.2	1.002	1.84	"plain:barren:sea:city:urban"	"arid:hot:superheated:frozen"
330	"Samurai's Mirage Yi"	9231	1.64	0.888	1.23	""	"windy"
331	"Samurai's Mirage Er"	9231	7.51	0.72	2.18	"hill:acid pool:river:sea"	"frozen:frigid:superheated"
332	"Samurai's Mirage Jiu"	9231	4.9	0.349	2.41	"toxic cloudsea"	"superheated:humid:frozen:windy:rocky:hot:temperate"
333	"Antares Nymphios"	6130	1.58	0.931	1.19	"savanna:plateau:lava river"	"humid:windy:hot:frozen:artic:arid"
334	"Dziban XIII"	4024	5.04	0.886	1.78	"rocky desert:rock arche"	"artificial temperate:rocky:humid"
335	"Inari's Labyrinth XI"	5874	1.21	1.084	1.04	"lakes:reef:urban:rocky desert"	"windy:artic:frozen:artificial temperate:subartic"
336	"Inari's Labyrinth VII"	5874	1.89	1.302	1.13	"island:city:rocky desert:canyons"	"rocky:tropical:windy:arid"
337	"Inari's Labyrinth XII"	5874	6.8	0.818	2.03	"cityscape:cave:hill:savanna:desert"	"windy:tropical:arid:hot"
338	"Sheliak Qi"	8730	4.34	0.993	1.63	"forest"	"rocky:subartic:artic:frozen:artificial temperate"
339	"Sheliak Jiu"	8730	4.02	0.909	1.64	"city:plain:verdant"	"artificial temperate:subartic:frozen"
340	"Sheliak Ba"	8730	0.71	0.969	0.9	"ocean:forest:fungus forest:cliff:city:desert"	"arid:hot:tropical:artificial temperate:windy:humid:superheated"
341	"Novaflare Orphean"	602	7.93	1.02	1.98	"grassland"	"superheated:windy:humid"
342	"Novaflare Olympus"	602	1.25	0.731	1.2	"rocky canyon"	"artificial temperate:humid"
343	"Novaflare Poseidian"	602	1.3	0.255	1.72	"island:swamp:river"	"frozen:rocky:arid:humid"
344	"Mirach Hadean"	1161	7.78	0.792	2.14	"verdant:city"	"subartic:arid"
345	"Mirach Persephonian"	1161	1.39	1.27	1.03	"tundra:fungus forest"	"artificial temperate:subartic:humid:superheated:hot"
346	"Mimosa Herculean"	9877	1.24	0.799	1.16	"plain:rainforest:hill"	"frigid:humid"
347	"Mimosa Helios"	9877	na	1.041	1.89	"grassland:desert:sinkholes:cliff"	"artificial temperate:arid:temperate:subartic:superheated"
348	"Mimosa Zephyrian"	9877	2.37	1.388	1.2	"rainforest:city:fungus forest:reef:grassy hill:sea"	"superheated:tropical:artificial temperate:temperate"
349	"Mimosa Hermesios"	9877	2.02	1.206	1.19	"acid pool:ice cave"	"humid:windy:frigid"
350	"Phantasma XV"	9183	6.08	1.461	1.61	"reef:desert:grassy hill"	"rocky:artificial temperate:windy"
351	"Aspidiske III"	3321	2.5	0.919	1.4	"cliff:hill:sea"	"artic:windy:artificial temperate"
352	"Secunda Hyadum Alpha"	584	7.45	0.781	2.12	"rocky island:jungle:cliff:plateau"	"rocky:tropical:temperate"
353	"Secunda Hyadum Omega"	584	4.43	1.147	1.57	"rock arche:canyons"	"hot:subartic"
354	"Secunda Hyadum Beta"	584	na	1.094	1.12	"rocky desert:reef"	"tropical:humid:temperate:frigid:subartic"
355	"Secunda Hyadum Lambda"	584	5.52	1.271	1.63	"swamp:lakes:valley:ice cave"	"humid:subartic:temperate:hot"
356	"Copernicus III"	8831	1.42	0.515	1.4	"rocky canyon:ice canyon"	"temperate:subartic:frigid:artic:rocky"
357	"Bonsai Celestial Asclepian"	201	1.86	0.804	1.32	"verdant:rainforest:tundra:jungle:island"	"hot:superheated:rocky:artificial temperate"
358	"Tenshi Echoes XVII"	662	2.86	0.827	1.51	"verdant:swamp:cave:forest"	"artic:arid:temperate:tropical"
359	"Tenshi Echoes XII"	662	4.01	0.911	1.64	"ash:reef:rock arche:cliff:mountain"	"frigid:hot:artic"
360	"Pollux Dionian"	8265	2.32	0.804	1.42	"rocky island:hill"	"rocky:frigid"
361	"Pollux Dionysios"	8265	3.96	1.081	1.54	"island:lava river:rocky desert:toxic cloudsea:lakes"	"frigid:frozen:arid"
362	"Pollux Hestian"	8265	2.55	1.065	1.34	"sinkholes:acid pool:grassland"	"temperate:humid:superheated:artic"
363	"Pollux Pantheon"	8265	3.51	0.912	1.57	"hill"	"hot:superheated:windy:frozen"
364	"Mjornir XI"	791	6.82	0.641	2.2	"plain"	"artic"
365	"Mjornir IV"	791	na	0.809	1.08	"canyons:acid pool"	"hot:windy:artic:tropical"
366	"Absolutno San"	7965	0.85	1.213	0.89	"forest:sinkholes:hill:verdant:canyons"	"superheated:artificial temperate:frigid"
367	"Absolutno Wu"	7965	0.67	0.833	0.93	"rainforest:rocky desert:rocky island:lakes"	"artic:humid:superheated:rocky"
368	"Cosmaronix Tau"	8254	1.37	1.42	0.99	"plateau"	"arid:artificial temperate:tropical:rocky"
369	"Cosmaronix Xi"	8254	0.44	1.708	0.64	"mountain:rocky island"	"rocky:humid:arid:temperate"
370	"Shama Wu"	4162	3.65	0.89	1.6	"city:rocky canyon:glacier"	"frozen:subartic:arid:windy:artic"
371	"Shogun's Resonance Quartal"	6171	2.61	0.459	1.79	"field:canyons"	"temperate:rocky:frigid:tropical:windy:artificial temperate"
372	"Aldulfin Tertial"	5443	0.67	1.038	0.86	"forest:field:rocky desert"	"humid:arid"
373	"Aldulfin Quartal"	5443	4.26	0.963	1.64	"rocky canyon:city:forest:verdant:cityscape:grassland:jungle:plateau"	"subartic:humid:temperate:superheated:tropical"
374	"Aldulfin Vigesimal"	5443	5.85	1.057	1.77	"sinkholes:forest:lava river:volcano:vine"	"superheated:rocky:artificial temperate:temperate:frigid"
375	"Sumi Cascade II"	3042	1.17	0.694	1.19	"lakes"	"rocky:artificial temperate:artic:arid:hot:frozen"
376	"Sadalsuud Tertial"	7079	4.91	1.114	1.64	"rainforest:jungle:ice canyon"	"artic:rocky:windy:superheated"
377	"Sadalsuud Septimal"	7079	4.69	1.359	1.51	"plain"	"windy:tropical"
378	"Sadalsuud Sextant"	7079	4.73	1.205	1.58	"glacier:hill:canyons:cityscape:rocky island:city"	"windy:artic:arid:hot:temperate:tropical:superheated"
379	"Sadalsuud Secant"	7079	1.05	0.599	1.21	"ice cave:valley:lakes:cityscape:mountain"	"frozen:frigid:artic:windy"
380	"Meleph Liu"	1864	2.86	0.672	na	"forest"	"frigid:artificial temperate:tropical:windy:hot"
381	"Meleph Jiu"	1864	1.9	1.424	1.1	"swamp:valley"	"temperate:hot:artic:superheated:humid"
382	"Meleph Er"	1864	3.81	0.901	1.62	"barren:valley:vine:savanna:verdant:mountain"	"frigid:subartic:temperate:frozen:arid"
383	"Celestial Cascade Janusian"	4901	2.81	0.935	1.44	"forest:ocean:ice canyon"	"arid:tropical:artic"
384	"Starlight Shroud Pi"	635	1.42	1.047	1.11	"acid pool"	"subartic:rocky"
385	"Obsidian Whispers Orphean"	6751	7.57	0.787	2.13	"plain:city"	"superheated:hot:artic"
386	"Obsidian Whispers Janusian"	6751	2.6	1.229	1.28	"cityscape"	"superheated:frozen:frigid:tropical:rocky:artificial temperate"
387	"Obsidian Whispers Hermian"	6751	2.49	1.054	1.33	"rock arche:cityscape:field"	"tropical:frozen"
388	"Obsidian Whispers Cerberian"	6751	4.54	0.946	1.69	"mountain:ice canyon:plateau:acid pool:rocky island:forest:reef"	"frozen:temperate:subartic:superheated:artic:artificial temperate"
389	"Starglow Haven Nymphios"	2824	4.8	0.405	2.28	"sea"	"windy:arid:tropical:frozen"
390	"Chara San"	4879	1.12	0.884	1.08	"ice cave:mountain:reef:river"	"subartic:frigid:temperate:rocky"
391	"Chara Ba"	4879	2.56	1.038	1.35	"savanna:rocky desert:jungle:bog"	"rocky:tropical:humid"
392	"Kasumi Whisper Artemian"	7958	6.4	1.172	1.76	"plain"	"frigid:artic"
393	"Snowstrider IV"	76	4.77	1.102	1.63	"vine:field:grassland:rocky canyon:volcano:sea:jungle"	"humid:temperate:frozen:artic:hot:frigid"
394	"Snowstrider I"	76	5.46	1.004	1.76	"plain:cliff"	"artic:superheated"
395	"Snowstrider XIV"	76	5.59	1.286	na	"lakes:cityscape:jungle:glacier:hill"	"subartic:superheated:windy:frigid:hot"
396	"Snowstrider XX"	76	2.24	1.041	1.29	"lava river:forest:ash:valley:plain:savanna:hill:rocky island"	"superheated:frigid:subartic:tropical:artificial temperate:frozen"
397	"Enigmatic Abyss XVI"	8863	5.09	0.832	1.83	"plain"	"hot:windy"
398	"Eonix V"	3171	1.29	0.835	1.16	"sea:fungus forest:vine:mountain:hill"	"subartic:hot:frozen:windy"
399	"Eonix XV"	3171	2	1.26	1.17	"cityscape:cave:desert:city"	"temperate:arid:artificial temperate:superheated:windy:subartic"
400	"Geminga Theta"	9046	5.3	0.897	1.81	"cliff"	"frozen:subartic"
401	"Stellaria Crypt IX"	1886	6.99	0.944	1.95	"rocky island:desert:jungle"	"temperate:subartic:windy:arid:tropical"
402	"Stellaria Crypt IV"	1886	2.9	1.002	1.43	"plateau:plain:grassland:rock arche"	"superheated:frozen:humid:rocky"
403	"Stellaria Crypt III"	1886	5.12	1.371	1.55	"scrubland"	"temperate:windy:arid:rocky:frigid"
404	"Stellaria Crypt X"	1886	7.49	1.063	1.92	"volcano:verdant:city:tundra:river"	"frozen:tropical:windy:arid:artic"
405	"Kitalpha XXI"	554	8.74	0.839	2.18	"forest"	"artic:artificial temperate:frigid:temperate:windy"
406	"Kitalpha VI"	554	6.67	0.873	1.97	"rocky island:ocean:tundra:lakes"	"rocky:windy:artic:artificial temperate"
407	"Kitalpha XVI"	554	8.9	1.072	2.02	"reef:desert:acid pool:ash"	"frozen:artic:artificial temperate:hot:windy:superheated:subartic"
408	"Rapeto Wu"	8401	4.08	0.897	1.66	"ash:cave:rock arche"	"hot:rocky:frozen:temperate:artificial temperate"
409	"Rapeto Qi"	8401	1.69	0.393	1.63	"plain:rock arche:city:tundra:jungle"	"tropical:artic:artificial temperate:frigid"
410	"Rapeto Si"	8401	1.74	0.936	1.23	"toxic cloudsea:city:tundra"	"frigid:frozen"
411	"Rapeto Ba"	8401	1.42	1.126	1.08	"field:rocky desert:reef:volcano:vine:plateau:cave"	"frigid:rocky:artificial temperate:temperate:arid"
412	"Astraflame Zeta"	9382	1.68	0.536	1.46	"urban:tundra"	"frigid"
413	"Cryptic Mirage Octal"	2014	2.63	0.969	1.39	"hill:ash:jungle:valley:rainforest"	"frozen:windy:temperate:tropical:hot:superheated"
414	"Cryptic Mirage Undecimal"	2014	2.89	1.355	1.29	"verdant:lava river:sinkholes:desert"	"superheated:artic:rocky"
415	"Cryptic Mirage Tertial"	2014	1.85	1.057	1.21	"tundra:lakes:acid pool:desert:sea:canyons:island:rainforest:valley"	"frozen:arid:temperate:hot:artificial temperate:humid"
416	"Reikon Resonance San"	1955	8.98	1.012	2.07	"acid pool:river"	"humid:temperate:rocky:arid:tropical:hot"
417	"Ra's Whisper Alpha"	5444	4.51	1.006	1.65	"jungle:ice cave:lakes:urban"	"frigid:frozen:windy:tropical"
418	"Pulsariana Yi"	5801	1.85	1.155	1.17	"rocky desert:field"	"frozen:frigid:humid:rocky:artificial temperate"
419	"Pulsariana Qi"	5801	1.05	0.965	1.03	"rainforest:plateau:hill:fungus forest:glacier:rocky desert"	"tropical:temperate:rocky:windy:artic"
420	"Pulsariana San"	5801	3.66	1.134	1.48	"rocky canyon:toxic cloudsea:rock arche:valley:verdant"	"frozen:superheated:frigid:tropical"
421	"Pulsariana Wu"	5801	1.86	1.01	1.23	"river"	"artic:temperate:artificial temperate"
422	"Cleopatra's Loom Psi"	4520	9.65	1.027	2.11	"jungle:cliff"	"artificial temperate:humid"
423	"Tania Australis Typhonian"	8220	9.26	1.44	1.86	"island:plain"	"hot:frozen:arid:subartic:windy"
424	"Tania Australis Aetherios"	8220	3.06	0.921	1.49	"cityscape:sea:cave:savanna:rocky canyon:volcano:lava river:field"	"temperate:rocky:tropical:humid:superheated"
425	"Spectral Veil Kappa"	643	0.59	1.148	0.8	"vine:cliff"	"artic:superheated:arid"
426	"Quanticus Jiu"	8962	2.78	1.281	1.29	"plain:vine:field:lakes"	"superheated:temperate:rocky:frozen"
427	"Rosaliadecastro IV"	2047	4.23	1.123	1.56	"plain:canyons"	"superheated:artic:frigid"
428	"Rosaliadecastro VI"	2047	4.25	1.129	1.56	"lakes:desert"	"arid:temperate:rocky:artic"
429	"Rosaliadecastro XII"	1084	6.69	1.031	1.87	"field:vine:rocky desert"	"windy:hot:humid"
430	"Riftwanderer XXIII"	2901	1.62	1.259	1.09	"lava river"	"arid:tropical:windy"
431	"Lilii Borea Psi"	9437	1.31	1.042	1.08	"glacier:cliff"	"rocky:hot:subartic:artificial temperate"
432	"Lilii Borea Nu"	9437	3.74	1.515	1.35	"desert"	"hot:superheated:rocky:subartic:artificial temperate:arid"
433	"Lilii Borea Rho"	9437	2.83	0.813	1.52	"mountain:volcano:river:rocky desert:tundra:cave"	"subartic:frozen:artic:superheated"
434	"Chalawan Xi"	9060	5.61	1.145	1.7	"cityscape:acid pool"	"artic:rocky:windy"
435	"Chalawan Zeta"	9060	7.17	0.589	2.3	"reef"	"artic:temperate:subartic:windy"
436	"Tarf Artemian"	9926	7.47	1.235	1.82	"jungle:volcano:forest:swamp:city:plateau"	"frozen:humid:artificial temperate:superheated:rocky:temperate"
437	"Fomalhaut Morphean"	8922	1.5	0.86	1.2	"grassy hill:jungle:ocean:grassland"	"rocky:hot:humid"
438	"Hoshizora XIX"	3863	7.04	0.586	2.29	"cityscape:vine:rocky island:plateau:verdant:bog"	"temperate:superheated:artificial temperate:hot"
439	"Hoshizora XXIII"	3863	2.95	1.195	1.35	"bog:field"	"subartic:hot"
440	"Hoshizora VII"	3863	1.9	0.842	1.31	"scrubland:cave:lava river:ocean:grassy hill:desert:vine:mountain"	"temperate:frigid:superheated:humid:subartic:arid"
441	"Hoshizora VI"	3863	3.89	1.218	1.47	"grassy hill"	"humid"
442	"Zenithrion Si"	3385	na	0.916	1.02	"sea:glacier:verdant"	"frozen:temperate:rocky"
443	"Zenithrion Shi"	3385	5.02	1.212	1.61	"jungle"	"hot"
444	"Zenithrion Wu"	3385	3.53	1.271	1.41	"glacier:cliff"	"artic:rocky:subartic"
445	"Gacrux Artemian"	5778	6.89	1.17	1.81	"plain"	"humid:hot:temperate"
446	"Thoth's Nebula Morphean"	3587	2.97	1.239	1.34	"grassland:rocky desert"	"humid:windy:superheated:artificial temperate:artic"
447	"Thoth's Nebula Eosian"	3587	0.73	1.03	0.89	"ocean:cave:city:rocky canyon:fungus forest"	"windy:artificial temperate:arid:hot"
